@relation Dataset_soal_bhs_indo_sd_completed-REV1-b

@attribute jenissoal {Memaknai,Sinonim/Antonim,Membaca,Analisa,Paragraf,Membandingkan,Melengkapi,Sastra,Mengurutkan,'Tata Penulisan',Iklan/Laporan/Pidato}
@attribute uraiansoal string
@attribute pertanyaansoal string
@attribute opsi1soal string
@attribute opsi2soal string
@attribute opsi3soal string
@attribute opsi4soal string
@attribute kuncijawabansoal string
@attribute kategorisoal {Mudah,Sedang,Sulit}

@data
Memaknai,'Padi yang luas menguning adalah hasil tanam yang dilakukan oleh pertanian. Petani yang luar biasa tidak mengenal waktu demi berhasilnya tanaman padi. Panas yang menyengat tidak dirasakannya karena mereka tahu masyarakat memerlukan pangan. Jasanya tak ternilai','Makna kata $jasa $pada paragraf di atas adalah',' \tPelayanan yang terbaik bagi kita.',' Manfaat yang melimpah bagi kita',' Perbuatan yang berguna bagi orang lain',' Jerih payah yang sangat menguntungkan',' Perbuatan yang berguna bagi orang lain',Mudah
Memaknai,' Binti terpaksa berjualan kue keliling kampung untuk mencukupi kebutuhannya yang sebatang kara. Namun; nasib sial datang menimpa Binti. Dagangannya ditendang anak anak yang sedang bermain petak umpet sehingga rusak dan tidak dapat dijual lagi. Agar ia tidak dimarahi Tuan Johan; Binti terpaksa berbohong. \t\tMenurut penjelasan Binti; sebenarnya kue dagannya habis terjual; bukan karena rusak ditendang anak anak yang bermain petak umpet. Tetapi Tuan Johan dapat menebak kalau Binti berbohong. \t\t $Aku tahu yang telah menendang kue daganganmu; $ kata Tuan Johan. Perkataan itu membuat Binti gugup; wajah Binti memerah menahan malu.',' Makna kata sebatangkara pada cerita tersebut adalah ...',' hidup berdua',' hidup sendirian',' hidup sengsara',' hidup pengangguran',' hidup sendirian',Mudah
Memaknai,' Pertandingan sepakbola antara PSS melawan Persebaya berakhir dengan kemenangan Persebaya. Suasana pertandingan berlangsung sangat meriah. Para suporter telah membanjiri Stadion Maguwoharjo sebelum pertandingan dimulai. Mereka saling menjaga diri untuk tidak membuat keributan sampai pertandingan usai.',' Makna kata suporter dalam paragraf tersebut adalah ....',' penonton','  pendukung','  peminat   ',pemirsa,' pendukung',Mudah
Memaknai,' Air limbah yang berasal dari industri tekstil sangat berbahaya. Air itu mengandung racun. Racun tersebut bisa mengganggu kesehatan manusia.',' Makna kata limbah pada paragraf tersebut adalah ....',' sesuatu yang tidak dipakai   ',' sisa proses produksi   ',' sisa bahan industri   ','bahan sortiran pabrik',' sisa proses produksi   ',Mudah
Memaknai,' Minggu pagi yang cerah; Amel dan ayahnya bersepeda mengeliling desa tempat tinggalnya. Saat di jalan Amel melihat simbol di bawah ini. Selanjutnya Amel bertanya kepada ayahnya tentang makna simbol lalu lintas tersebut. ','Makna simbol lalu lintas di atas adalah ....',' Dilarang belok   ',' Dilarang parkir   ',' Dilarang berputar   ','Dilarang berhenti',' Dilarang belok   ',Mudah
Memaknai,' Petani mengalami gagal panen. Penyebab utama gagal panen adalah serangan hama wereng. Upaya pemberantasan sudah dilakukan dengan penyernprotan pestisida secara masif Namun; ternyata hama wereng tersebut resistan terhadap pestisida;',' Makna resistan pada paragraf tersebut adalah','  berkembang biak dengan cepat ','   tahan terhadap penyakit   ',' mampu bertahan hidup   ','kuat menahan semprotan','  tahan terhadap penyakit   ',Mudah
Memaknai,' Srimaya baru saja pindah sekolah. la cepat diterima oleh teman-teman barunya. Para guru senang mendapat siswa baru seperti Srimaya. I a rajin membaca buku di perpustakaan. Kebiasaan tersebut diikuti oleh teman-temannya. Minat baca siswa meningkat setelah kedatangan Srimaya. Srimaya menjadi lokomotif literasi di sekolah.',' Makna lokomotif pada cerita tersebut adalah',' penggerak',' pengajar',' pembimbing',' pembina',' penggerak',Mudah
Memaknai,' Semua bermula dari hati Hati bersih sampai sanubari Manusia jangan melangit tinggi Banyak orang tak simpati ','  Manusia jangan melangit tinggi. Makna melangit pada kalimat tersebut adalah .... ',' mulia   ',' hebat   ',' angkuh   ',kaya,' angkuh   ',Mudah
Memaknai,' Kesenian ketoprak merupakan seni pertunjukan tradisional rakyat Jawa. Kesenian ketoprak biasanya diiringi alat musik gamelan. Kesenian ketoprak mulai jarang dipentaskan. Oleh karena itu; agar senantiasa lestari anak-anak perlu diperkenalkan kesenian ini.',' Arti kata lestari dalam paragraf di atas adalah ....',' Tetap   ',' Abadi   ',' Kekal   ',Langgeng,' Kekal   ',Mudah
Memaknai,' Putihnya bunga melati Tak seputih hatimu bunga negeri Baktimu tiada terperi Cintamu yang tulus suci Sampai mati kau tetap dihormati',' Makna kata kias bunga negeri pada puisi tersebut adalah',' pahlawan',' pemimpin',' perintis',' pelopor',' pahlawan',Sulit
